OrderID,Date,Year,Month,Quarter,DayOfWeek,Category,Product,Region,CustomerSegment,PaymentMethod,UnitPrice,Quantity,Discount,TotalSales,Profit,ProfitMargin
ORD10025,2022-01-07,2022,1,Q1,Friday,Electronics,Tablet,North,Premium,Cash,19830.22,1,0.2,15864.18,1967.16,0.124
ORD10026,2022-01-07,2022,1,Q1,Friday,Clothing,Jeans,South,Regular,Debit Card,1255.47,1,0.2,1004.38,166.73,0.166
ORD10027,2022-01-08,2022,1,Q1,Saturday,Home & Garden,Vase,East,Premium,Debit Card,268.08,3,0.05,764.03,126.83,0.166
ORD10028,2022-01-08,2022,1,Q1,Saturday,Home & Garden,Pillow,North,New,Cash,354.37,3,0.2,850.49,252.6,0.297
ORD10029,2022-01-08,2022,1,Q1,Saturday,Food & Beverages,Juice,Central,New,Net Banking,46.66,2,0.1,83.99,12.35,0.147
ORD10030,2022-01-09,2022,1,Q1,Sunday,Sports,Yoga Mat,North,Premium,Cash,820.55,4,0.1,2953.98,578.98,0.196
ORD10031,2022-01-09,2022,1,Q1,Sunday,Electronics,Smartphone,Central,Premium,Credit Card,23274.15,5,0.1,104733.68,30163.3,0.288
ORD10032,2022-01-10,2022,1,Q1,Monday,Sports,Water Bottle,North,Regular,UPI,305.68,3,0.1,825.34,205.51,0.249
ORD10033,2022-01-10,2022,1,Q1,Monday,Home & Garden,Pillow,East,Premium,Debit Card,332.04,3,0.0,996.12,293.86,0.295
ORD10034,2022-01-10,2022,1,Q1,Monday,Home & Garden,Curtains,North,New,Net Banking,688.33,3,0.1,1858.49,446.04,0.24
ORD10035,2022-01-10,2022,1,Q1,Monday,Clothing,Dress,West,Regular,Net Banking,1675.36,2,0.2,2680.58,592.41,0.221
ORD10036,2022-01-10,2022,1,Q1,Monday,Electronics,Smartphone,Central,New,Net Banking,23978.77,1,0.2,19183.02,3683.14,0.192
ORD10037,2022-01-11,2022,1,Q1,Tuesday,Clothing,Dress,East,Premium,Credit Card,1702.91,5,0.05,8088.82,1431.72,0.177
ORD10038,2022-01-11,2022,1,Q1,Tuesday,Clothing,Dress,South,Premium,Credit Card,1669.53,3,0.1,4507.73,752.79,0.167
ORD10039,2022-01-11,2022,1,Q1,Tuesday,Food & Beverages,Snacks,South,New,Credit Card,74.02,3,0.15,188.75,52.85,0.28
ORD10040,2022-01-11,2022,1,Q1,Tuesday,Electronics,Laptop,West,New,UPI,59454.17,2,0.15,101072.09,30928.06,0.306
ORD10041,2022-01-11,2022,1,Q1,Tuesday,Electronics,Smartwatch,West,New,Net Banking,6981.43,4,0.15,23736.86,7239.74,0.305
ORD10042,2022-01-12,2022,1,Q1,Wednesday,Sports,Dumbbells,Central,Premium,Credit Card,1991.79,3,0.05,5676.6,1106.94,0.195
ORD10043,2022-01-12,2022,1,Q1,Wednesday,Clothing,Jacket,South,Regular,Debit Card,1964.39,1,0.1,1767.95,341.21,0.193
ORD10044,2022-01-12,2022,1,Q1,Wednesday,Clothing,T-Shirt,East,Premium,Cash,391.85,1,0.05,372.26,100.14,0.269
ORD10045,2022-01-13,2022,1,Q1,Thursday,Food & Beverages,Tea,South,Regular,Credit Card,114.76,5,0.0,573.8,182.47,0.318
ORD10046,2022-01-13,2022,1,Q1,Thursday,Sports,Running Shoes,West,Premium,Cash,2298.55,3,0.0,6895.65,1489.46,0.216
ORD10047,2022-01-13,2022,1,Q1,Thursday,Sports,Yoga Mat,West,Regular,Debit Card,722.48,3,0.1,1950.7,355.03,0.182
ORD10048,2022-01-14,2022,1,Q1,Friday,Sports,Water Bottle,West,Premium,Credit Card,282.28,3,0.05,804.5,156.07,0.194
ORD10049,2022-01-14,2022,1,Q1,Friday,Sports,Resistance Band,South,New,UPI,383.94,1,0.0,383.94,81.78,0.213
ORD10050,2022-01-14,2022,1,Q1,Friday,Sports,Resistance Band,South,Regular,Debit Card,349.21,2,0.2,558.74,190.53,0.341
ORD10051,2022-01-14,2022,1,Q1,Friday,Clothing,T-Shirt,East,Regular,Debit Card,403.9,2,0.15,686.63,195.0,0.284
ORD10052,2022-01-14,2022,1,Q1,Friday,Electronics,Smartwatch,Central,Premium,UPI,6321.4,1,0.2,5057.12,915.34,0.181
ORD10053,2022-01-14,2022,1,Q1,Friday,Electronics,Laptop,West,Regular,Debit Card,60516.6,4,0.0,242066.4,31952.76,0.132
ORD10054,2022-01-14,2022,1,Q1,Friday,Food & Beverages,Energy Drink,Central,New,Net Banking,81.24,1,0.15,69.05,18.37,0.266
ORD10055,2022-01-14,2022,1,Q1,Friday,Clothing,Dress,Central,Premium,Credit Card,1761.44,5,0.15,7486.12,1744.27,0.233
ORD10056,2022-01-14,2022,1,Q1,Friday,Electronics,Headphones,East,Premium,Credit Card,3263.96,4,0.0,13055.84,1814.76,0.139
ORD10057,2022-01-15,2022,1,Q1,Saturday,Home & Garden,Vase,East,Premium,Debit Card,289.74,1,0.0,289.74,83.16,0.287
ORD10058,2022-01-15,2022,1,Q1,Saturday,Electronics,Headphones,Central,Premium,Net Banking,2896.33,4,0.0,11585.32,4008.52,0.346
ORD10059,2022-01-15,2022,1,Q1,Saturday,Clothing,Jeans,North,Regular,Net Banking,1249.2,1,0.1,1124.28,174.26,0.155
ORD10060,2022-01-15,2022,1,Q1,Saturday,Sports,Yoga Mat,Central,New,UPI,766.25,5,0.05,3639.69,1153.78,0.317
ORD10061,2022-01-16,2022,1,Q1,Sunday,Home & Garden,Vase,East,Premium,Net Banking,287.14,4,0.2,918.85,113.94,0.124
ORD10062,2022-01-16,2022,1,Q1,Sunday,Sports,Resistance Band,South,New,Net Banking,383.43,3,0.0,1150.29,230.06,0.2
ORD10063,2022-01-16,2022,1,Q1,Sunday,Home & Garden,Vase,West,Premium,Debit Card,273.47,1,0.15,232.45,64.85,0.279
ORD10064,2022-01-16,2022,1,Q1,Sunday,Sports,Dumbbells,East,Regular,Credit Card,2076.86,2,0.15,3530.66,1105.1,0.313
ORD10065,2022-01-17,2022,1,Q1,Monday,Electronics,Laptop,North,New,Debit Card,57191.38,1,0.05,54331.81,7932.44,0.146
ORD10066,2022-01-17,2022,1,Q1,Monday,Sports,Water Bottle,North,Premium,UPI,322.77,2,0.05,613.26,109.77,0.179
ORD10067,2022-01-17,2022,1,Q1,Monday,Sports,Dumbbells,South,New,UPI,2192.99,2,0.0,4385.98,1517.55,0.346
ORD10068,2022-01-17,2022,1,Q1,Monday,Food & Beverages,Coffee,East,New,Net Banking,213.21,1,0.0,213.21,37.52,0.176
ORD10069,2022-01-17,2022,1,Q1,Monday,Food & Beverages,Coffee,East,Premium,Cash,195.21,4,0.0,780.84,193.65,0.248
ORD10070,2022-01-17,2022,1,Q1,Monday,Sports,Resistance Band,South,Regular,UPI,411.77,1,0.0,411.77,75.77,0.184
ORD10071,2022-01-18,2022,1,Q1,Tuesday,Food & Beverages,Juice,North,New,Debit Card,53.04,3,0.05,151.16,47.92,0.317
ORD10072,2022-01-18,2022,1,Q1,Tuesday,Home & Garden,Table Lamp,West,New,UPI,1000.52,1,0.15,850.44,227.92,0.268
ORD10073,2022-01-18,2022,1,Q1,Tuesday,Home & Garden,Pillow,North,New,UPI,311.72,4,0.15,1059.85,346.57,0.327
ORD10074,2022-01-18,2022,1,Q1,Tuesday,Sports,Running Shoes,Central,Regular,Debit Card,2604.28,3,0.1,7031.56,1448.5,0.206
ORD10075,2022-01-19,2022,1,Q1,Wednesday,Sports,Running Shoes,East,Regular,Debit Card,2774.47,1,0.2,2219.58,268.57,0.121
ORD10076,2022-01-19,2022,1,Q1,Wednesday,Food & Beverages,Coffee,West,New,Net Banking,198.08,2,0.0,396.16,91.91,0.232
ORD10077,2022-01-19,2022,1,Q1,Wednesday,Clothing,Shoes,West,Regular,Net Banking,1850.71,5,0.1,8328.19,1432.45,0.172
ORD10078,2022-01-19,2022,1,Q1,Wednesday,Electronics,Headphones,East,New,Credit Card,3101.25,1,0.15,2636.06,616.84,0.234
ORD10079,2022-01-19,2022,1,Q1,Wednesday,Food & Beverages,Juice,West,Regular,UPI,47.72,3,0.0,143.16,38.8,0.271
ORD10080,2022-01-19,2022,1,Q1,Wednesday,Home & Garden,Curtains,Central,Premium,Debit Card,689.29,4,0.0,2757.16,653.45,0.237
ORD10081,2022-01-20,2022,1,Q1,Thursday,Electronics,Headphones,North,Regular,Credit Card,3056.12,5,0.2,12224.48,2836.08,0.232
ORD10082,2022-01-20,2022,1,Q1,Thursday,Home & Garden,Vase,West,New,Debit Card,321.66,3,0.0,964.98,292.39,0.303
ORD10083,2022-01-20,2022,1,Q1,Thursday,Clothing,Jacket,Central,Premium,UPI,2126.12,4,0.05,8079.26,2213.72,0.274
ORD10084,2022-01-20,2022,1,Q1,Thursday,Clothing,T-Shirt,Central,New,Debit Card,455.95,4,0.2,1459.04,417.29,0.286
ORD10085,2022-01-20,2022,1,Q1,Thursday,Clothing,T-Shirt,West,New,Net Banking,406.37,3,0.05,1158.15,343.97,0.297
ORD10086,2022-01-20,2022,1,Q1,Thursday,Electronics,Laptop,North,New,Net Banking,50206.82,4,0.0,200827.28,67477.97,0.336
ORD10087,2022-01-20,2022,1,Q1,Thursday,Electronics,Headphones,North,Regular,Net Banking,3245.09,5,0.05,15414.18,4978.78,0.323
ORD10088,2022-01-20,2022,1,Q1,Thursday,Food & Beverages,Coffee,East,New,Debit Card,223.03,5,0.1,1003.64,335.22,0.334
ORD10089,2022-01-20,2022,1,Q1,Thursday,Food & Beverages,Tea,East,Premium,Net Banking,125.67,5,0.0,628.35,158.34,0.252
ORD10090,2022-01-20,2022,1,Q1,Thursday,Food & Beverages,Juice,North,Premium,Debit Card,55.9,4,0.15,190.06,35.73,0.188
ORD10091,2022-01-20,2022,1,Q1,Thursday,Clothing,Jacket,North,New,Net Banking,2076.17,1,0.0,2076.17,400.7,0.193
ORD10092,2022-01-21,2022,1,Q1,Friday,Sports,Yoga Mat,Central,Premium,Net Banking,714.43,1,0.0,714.43,150.74,0.211
ORD10093,2022-01-22,2022,1,Q1,Saturday,Food & Beverages,Snacks,East,New,Debit Card,72.68,3,0.0,218.04,54.73,0.251
ORD10094,2022-01-22,2022,1,Q1,Saturday,Clothing,T-Shirt,Central,Premium,Net Banking,390.76,2,0.0,781.52,139.11,0.178
ORD10095,2022-01-22,2022,1,Q1,Saturday,Home & Garden,Chair,North,Premium,Credit Card,4076.0,2,0.0,8152.0,2364.08,0.29
ORD10096,2022-01-22,2022,1,Q1,Saturday,Electronics,Tablet,North,Premium,Cash,19436.84,3,0.0,58310.52,16501.88,0.283
ORD10097,2022-01-23,2022,1,Q1,Sunday,Clothing,Shoes,West,New,UPI,1889.75,2,0.1,3401.55,1040.87,0.306
ORD10098,2022-01-24,2022,1,Q1,Monday,Food & Beverages,Snacks,South,New,Net Banking,72.22,1,0.2,57.78,15.08,0.261
ORD10099,2022-01-24,2022,1,Q1,Monday,Electronics,Tablet,South,Regular,Cash,17135.16,1,0.1,15421.64,4071.31,0.264
ORD10100,2022-01-24,2022,1,Q1,Monday,Electronics,Tablet,West,Premium,Debit Card,17556.58,4,0.0,70226.32,22753.33,0.324
ORD10101,2022-01-24,2022,1,Q1,Monday,Clothing,Jeans,Central,Premium,UPI,1154.54,2,0.2,1847.26,262.31,0.142
ORD10102,2022-01-24,2022,1,Q1,Monday,Home & Garden,Table Lamp,East,Premium,Cash,1035.97,3,0.15,2641.72,599.67,0.227
ORD10103,2022-01-24,2022,1,Q1,Monday,Home & Garden,Chair,West,Regular,UPI,4286.25,5,0.0,21431.25,6707.98,0.313
ORD10104,2022-01-25,2022,1,Q1,Tuesday,Home & Garden,Pillow,South,Premium,UPI,364.51,1,0.2,291.61,37.62,0.129
ORD10105,2022-01-25,2022,1,Q1,Tuesday,Sports,Resistance Band,Central,Regular,Cash,407.18,3,0.0,1221.54,182.01,0.149
ORD10106,2022-01-25,2022,1,Q1,Tuesday,Electronics,Headphones,North,Premium,Net Banking,2988.23,5,0.1,13447.03,2447.36,0.182
ORD10107,2022-01-25,2022,1,Q1,Tuesday,Home & Garden,Pillow,West,Regular,Net Banking,371.64,4,0.1,1337.9,420.1,0.314
ORD10108,2022-01-26,2022,1,Q1,Wednesday,Clothing,Shoes,West,Premium,Credit Card,1755.7,3,0.0,5267.1,1406.32,0.267
ORD10109,2022-01-26,2022,1,Q1,Wednesday,Food & Beverages,Tea,Central,Premium,Cash,133.27,5,0.2,533.08,182.85,0.343
ORD10110,2022-01-26,2022,1,Q1,Wednesday,Sports,Running Shoes,South,Regular,Credit Card,2659.44,3,0.1,7180.49,2175.69,0.303
ORD10111,2022-01-26,2022,1,Q1,Wednesday,Sports,Water Bottle,Central,New,Cash,283.86,4,0.0,1135.44,330.41,0.291
ORD10112,2022-01-26,2022,1,Q1,Wednesday,Food & Beverages,Energy Drink,West,Regular,UPI,80.76,2,0.0,161.52,55.08,0.341
ORD10113,2022-01-26,2022,1,Q1,Wednesday,Home & Garden,Chair,North,New,Net Banking,4535.58,1,0.1,4082.02,1134.8,0.278
ORD10114,2022-01-26,2022,1,Q1,Wednesday,Home & Garden,Curtains,North,Regular,Debit Card,619.91,2,0.05,1177.83,183.74,0.156
ORD10115,2022-01-26,2022,1,Q1,Wednesday,Clothing,Shoes,North,Regular,Debit Card,1776.59,1,0.2,1421.27,386.59,0.272
ORD10116,2022-01-27,2022,1,Q1,Thursday,Home & Garden,Vase,West,New,Net Banking,284.41,5,0.0,1422.05,412.39,0.29
ORD10117,2022-01-27,2022,1,Q1,Thursday,Home & Garden,Table Lamp,East,Premium,Net Banking,1031.09,5,0.0,5155.45,1118.73,0.217
ORD10118,2022-01-27,2022,1,Q1,Thursday,Food & Beverages,Juice,East,Regular,Net Banking,48.43,3,0.15,123.5,36.31,0.294
ORD10119,2022-01-27,2022,1,Q1,Thursday,Electronics,Smartwatch,West,Regular,UPI,6139.58,4,0.1,22102.49,2895.43,0.131
ORD10120,2022-01-29,2022,1,Q1,Saturday,Electronics,Headphones,North,Regular,Net Banking,2701.73,4,0.1,9726.23,1556.2,0.16
ORD10121,2022-01-29,2022,1,Q1,Saturday,Food & Beverages,Coffee,East,Regular,Debit Card,191.98,2,0.2,307.17,71.57,0.233
ORD10122,2022-01-29,2022,1,Q1,Saturday,Home & Garden,Vase,East,New,Cash,295.92,1,0.05,281.12,63.81,0.227
ORD10123,2022-01-29,2022,1,Q1,Saturday,Home & Garden,Pillow,Central,Regular,Debit Card,350.18,2,0.05,665.34,174.32,0.262
ORD10124,2022-01-29,2022,1,Q1,Saturday,Home & Garden,Table Lamp,Central,Premium,UPI,1047.56,2,0.0,2095.12,377.12,0.18
ORD10125,2022-01-29,2022,1,Q1,Saturday,Home & Garden,Table Lamp,South,Regular,Credit Card,921.12,3,0.0,2763.36,652.15,0.236
ORD10126,2022-01-29,2022,1,Q1,Saturday,Electronics,Laptop,West,New,Cash,59189.21,5,0.0,295946.05,81977.06,0.277
ORD10127,2022-01-31,2022,1,Q1,Monday,Clothing,T-Shirt,West,Premium,Net Banking,434.85,2,0.0,869.7,109.58,0.126
ORD10128,2022-01-31,2022,1,Q1,Monday,Home & Garden,Vase,West,New,Cash,302.6,3,0.0,907.8,275.97,0.304
ORD10129,2022-01-31,2022,1,Q1,Monday,Sports,Water Bottle,East,Regular,Debit Card,308.04,3,0.05,877.91,235.28,0.268
ORD10130,2022-01-31,2022,1,Q1,Monday,Home & Garden,Vase,Central,Premium,Debit Card,295.02,3,0.0,885.06,273.48,0.309
ORD10131,2022-02-01,2022,2,Q1,Tuesday,Sports,Running Shoes,Central,New,UPI,2614.23,1,0.05,2483.52,846.88,0.341
ORD10132,2022-02-01,2022,2,Q1,Tuesday,Electronics,Laptop,West,New,UPI,59729.12,4,0.1,215024.83,39349.54,0.183
ORD10133,2022-02-01,2022,2,Q1,Tuesday,Electronics,Smartwatch,North,Regular,Net Banking,6411.84,2,0.05,12182.5,1571.54,0.129
ORD10134,2022-02-02,2022,2,Q1,Wednesday,Food & Beverages,Juice,North,New,Net Banking,52.21,1,0.1,46.99,12.73,0.271
ORD10135,2022-02-02,2022,2,Q1,Wednesday,Electronics,Smartphone,North,New,Net Banking,24915.52,2,0.05,47339.49,5917.44,0.125
ORD10136,2022-02-02,2022,2,Q1,Wednesday,Sports,Running Shoes,North,Premium,Net Banking,2710.38,1,0.1,2439.34,570.81,0.234
ORD10137,2022-02-02,2022,2,Q1,Wednesday,Electronics,Tablet,Central,Premium,Net Banking,19421.41,2,0.05,36900.68,9778.68,0.265
ORD10138,2022-02-03,2022,2,Q1,Thursday,Food & Beverages,Juice,East,Premium,Debit Card,54.85,4,0.0,219.4,47.39,0.216
ORD10139,2022-02-03,2022,2,Q1,Thursday,Electronics,Smartwatch,East,New,Net Banking,7435.91,4,0.15,25282.09,4070.42,0.161
ORD10140,2022-02-03,2022,2,Q1,Thursday,Food & Beverages,Coffee,West,New,Debit Card,223.15,3,0.15,569.03,198.02,0.348
ORD10141,2022-02-03,2022,2,Q1,Thursday,Sports,Yoga Mat,East,New,Net Banking,751.63,2,0.15,1277.77,227.44,0.178
ORD10142,2022-02-03,2022,2,Q1,Thursday,Electronics,Headphones,North,Regular,Net Banking,3022.92,5,0.05,14358.87,2512.8,0.175
ORD10143,2022-02-03,2022,2,Q1,Thursday,Electronics,Headphones,South,New,UPI,3082.01,1,0.0,3082.01,539.35,0.175
ORD10144,2022-02-04,2022,2,Q1,Friday,Food & Beverages,Snacks,North,New,Debit Card,66.34,1,0.0,66.34,15.66,0.236
ORD10145,2022-02-04,2022,2,Q1,Friday,Sports,Dumbbells,West,Premium,Debit Card,2263.74,5,0.15,9620.89,3136.41,0.326
ORD10146,2022-02-04,2022,2,Q1,Friday,Food & Beverages,Tea,South,New,Credit Card,124.67,4,0.05,473.75,161.08,0.34
ORD10147,2022-02-04,2022,2,Q1,Friday,Food & Beverages,Coffee,Central,Regular,Cash,227.25,1,0.0,227.25,43.86,0.193
ORD10148,2022-02-05,2022,2,Q1,Saturday,Home & Garden,Pillow,West,New,Debit Card,370.6,4,0.0,1482.4,373.56,0.252
ORD10149,2022-02-05,2022,2,Q1,Saturday,Clothing,Shoes,East,Regular,UPI,1919.31,5,0.15,8157.07,1150.15,0.141
ORD10150,2022-02-06,2022,2,Q1,Sunday,Electronics,Laptop,West,Premium,Cash,56381.97,4,0.0,225527.88,62020.17,0.275
ORD10151,2022-02-06,2022,2,Q1,Sunday,Food & Beverages,Juice,Central,Regular,Cash,53.57,1,0.15,45.53,6.65,0.146
ORD10152,2022-02-07,2022,2,Q1,Monday,Home & Garden,Pillow,South,New,Cash,369.3,2,0.0,738.6,98.23,0.133
ORD10153,2022-02-07,2022,2,Q1,Monday,Electronics,Headphones,West,Premium,UPI,3004.47,5,0.2,12017.88,3485.19,0.29
ORD10154,2022-02-08,2022,2,Q1,Tuesday,Sports,Yoga Mat,Central,New,UPI,772.03,3,0.0,2316.09,340.47,0.147
ORD10155,2022-02-08,2022,2,Q1,Tuesday,Home & Garden,Vase,East,Premium,UPI,276.26,2,0.15,469.64,147.0,0.313
ORD10156,2022-02-08,2022,2,Q1,Tuesday,Food & Beverages,Coffee,Central,Premium,Cash,228.09,5,0.0,1140.45,195.02,0.171
ORD10157,2022-02-08,2022,2,Q1,Tuesday,Clothing,Shoes,South,New,UPI,1831.35,3,0.2,4395.24,1239.46,0.282
ORD10158,2022-02-08,2022,2,Q1,Tuesday,Clothing,Jacket,North,New,Credit Card,1947.07,5,0.1,8761.82,1524.56,0.174
ORD10159,2022-02-08,2022,2,Q1,Tuesday,Electronics,Laptop,North,New,Credit Card,56148.42,5,0.05,266704.99,54674.52,0.205
ORD10160,2022-02-09,2022,2,Q1,Wednesday,Home & Garden,Curtains,East,Premium,Debit Card,722.54,1,0.0,722.54,184.97,0.256
ORD10161,2022-02-09,2022,2,Q1,Wednesday,Electronics,Laptop,North,Regular,Net Banking,53594.91,4,0.1,192941.68,26818.89,0.139
ORD10162,2022-02-09,2022,2,Q1,Wednesday,Clothing,Shoes,North,New,Credit Card,1973.65,3,0.15,5032.81,890.81,0.177
ORD10163,2022-02-09,2022,2,Q1,Wednesday,Electronics,Smartwatch,West,New,Net Banking,6569.14,3,0.0,19707.42,3507.92,0.178
ORD10164,2022-02-09,2022,2,Q1,Wednesday,Clothing,T-Shirt,South,Premium,UPI,416.94,2,0.15,708.8,205.55,0.29
ORD10165,2022-02-10,2022,2,Q1,Thursday,Home & Garden,Chair,West,Premium,Cash,4477.12,1,0.15,3805.55,1107.42,0.291
ORD10166,2022-02-10,2022,2,Q1,Thursday,Food & Beverages,Snacks,North,Premium,Credit Card,70.46,4,0.0,281.84,96.11,0.341
ORD10167,2022-02-10,2022,2,Q1,Thursday,Home & Garden,Pillow,North,Premium,UPI,331.49,1,0.0,331.49,46.08,0.139
ORD10168,2022-02-10,2022,2,Q1,Thursday,Clothing,Dress,West,Regular,Net Banking,1709.65,5,0.0,8548.25,2923.5,0.342
ORD10169,2022-02-11,2022,2,Q1,Friday,Home & Garden,Table Lamp,West,Regular,Debit Card,920.48,5,0.15,3912.04,508.57,0.13
ORD10170,2022-02-11,2022,2,Q1,Friday,Sports,Water Bottle,Central,New,Credit Card,320.77,5,0.0,1603.85,558.14,0.348
ORD10171,2022-02-11,2022,2,Q1,Friday,Home & Garden,Curtains,North,Regular,Credit Card,622.04,3,0.0,1866.12,522.51,0.28
ORD10172,2022-02-11,2022,2,Q1,Friday,Sports,Running Shoes,West,Regular,Cash,2333.47,1,0.2,1866.78,317.35,0.17
ORD10173,2022-02-11,2022,2,Q1,Friday,Clothing,T-Shirt,West,Premium,Debit Card,407.53,1,0.0,407.53,107.59,0.264
ORD10174,2022-02-12,2022,2,Q1,Saturday,Food & Beverages,Juice,North,New,Cash,51.86,1,0.1,46.67,15.45,0.331
ORD10175,2022-02-12,2022,2,Q1,Saturday,Home & Garden,Pillow,North,New,Debit Card,371.19,4,0.05,1410.52,204.53,0.145
ORD10176,2022-02-13,2022,2,Q1,Sunday,Electronics,Tablet,West,Regular,Net Banking,18085.37,2,0.15,30745.13,5011.46,0.163
ORD10177,2022-02-13,2022,2,Q1,Sunday,Sports,Running Shoes,East,Premium,Credit Card,2531.49,2,0.0,5062.98,875.9,0.173
ORD10178,2022-02-13,2022,2,Q1,Sunday,Electronics,Headphones,East,Regular,Cash,2835.73,5,0.1,12760.78,4389.71,0.344
ORD10179,2022-02-14,2022,2,Q1,Monday,Food & Beverages,Tea,Central,Regular,Cash,139.9,1,0.0,139.9,25.74,0.184
ORD10180,2022-02-14,2022,2,Q1,Monday,Clothing,Jacket,West,Regular,UPI,2087.26,5,0.15,8870.86,2457.23,0.277
ORD10181,2022-02-14,2022,2,Q1,Monday,Home & Garden,Chair,West,New,Debit Card,3963.22,3,0.15,10106.21,3122.82,0.309
ORD10182,2022-02-14,2022,2,Q1,Monday,Clothing,T-Shirt,North,New,Net Banking,463.23,5,0.0,2316.15,604.52,0.261
ORD10183,2022-02-14,2022,2,Q1,Monday,Clothing,Dress,North,New,UPI,1672.2,2,0.05,3177.18,784.76,0.247
ORD10184,2022-02-14,2022,2,Q1,Monday,Home & Garden,Vase,West,Regular,Credit Card,277.56,1,0.2,222.05,66.39,0.299
ORD10185,2022-02-15,2022,2,Q1,Tuesday,Food & Beverages,Coffee,North,Premium,Credit Card,211.67,1,0.0,211.67,43.82,0.207
ORD10186,2022-02-15,2022,2,Q1,Tuesday,Clothing,Shoes,Central,Regular,Net Banking,1963.34,1,0.05,1865.17,639.75,0.343
ORD10187,2022-02-16,2022,2,Q1,Wednesday,Clothing,T-Shirt,South,Premium,Credit Card,454.08,5,0.0,2270.4,306.5,0.135
ORD10188,2022-02-16,2022,2,Q1,Wednesday,Home & Garden,Vase,South,New,Debit Card,269.94,1,0.0,269.94,33.2,0.123
ORD10189,2022-02-16,2022,2,Q1,Wednesday,Electronics,Smartphone,North,Premium,Credit Card,23334.33,4,0.15,79336.72,24356.37,0.307
